id,ON STREET NAME,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 3,NUMBER OF CYCLIST INJURED,LONGITUDE,OFF STREET NAME,VEHICLE TYPE CODE 4,LATITUDE,LOCATION,VEHICLE TYPE CODE 1,NUMBER OF MOTORIST INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 2,NUMBER OF PEDESTRIANS KILLED,CROSS STREET NAME,NUMBER OF PERSONS INJURED,VEHICLE TYPE CODE 2,BOROUGH,CONTRIBUTING FACTOR VEHICLE 1,ZIP CODE,VEHICLE TYPE CODE 3,NUMBER OF CYCLIST KILLED,DATE,UNIQUE KEY,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 5,TIME,NUMBER OF PEDESTRIANS INJURED
583145,COLUMBUS AVENUE,0,,0,-73.9773678,,,40.7793641,"(40.7793641, -73.9773678)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,WEST 75 STREET,0,PASSENGER VEHICLE,MANHATTAN,Failure to Yield Right-of-Way,10023.0,,0,04/23/2016,3409332,,,11:30:00,0
583149,SCHENECTADY AVENUE,0,,0,-73.9341398,,,40.6662772,"(40.6662772, -73.9341398)",PASSENGER VEHICLE,0,0,,,0,CARROLL STREET,0,,BROOKLYN,Lost Consciousness,11213.0,,0,04/23/2016,3417890,,,12:15:00,0
583166,5 AVENUE,0,,1,-73.9376183,,,40.812739,"(40.812739, -73.9376183)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,WEST 135 STREET,1,BICYCLE,MANHATTAN,Failure to Yield Right-of-Way,10037.0,,0,04/23/2016,3410474,,,13:30:00,0
583169,EAST FORDHAM ROAD,0,,0,-73.8888848,,,40.860380799999994,"(40.8603808, -73.8888848)",PASSENGER VEHICLE,0,0,,Failure to Yield Right-of-Way,0,WASHINGTON AVENUE,0,PASSENGER VEHICLE,BRONX,Failure to Yield Right-of-Way,10458.0,,0,04/23/2016,3413818,,,13:50:00,0
583184,SOUTH 6 STREET,0,,0,-73.9664471,,,40.7113795,"(40.7113795, -73.9664471)",PASSENGER VEHICLE,0,0,,,0,WYTHE AVENUE,1,,BROOKLYN,Failure to Yield Right-of-Way,11249.0,,0,04/23/2016,3421613,,,17:20:00,1
583242,,0,,0,-73.99427109999998,538 WEST 48 STREET,,40.7640807,"(40.7640807, -73.9942711)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,,0,OTHER,MANHATTAN,Lost Consciousness,10036.0,,0,04/22/2016,3437240,,,00:45:00,0
583248,NORTHERN BOULEVARD,0,,0,-73.80204859999998,,,40.76083670000001,"(40.7608367, -73.8020486)",PASSENGER VEHICLE,1,0,,Failure to Yield Right-of-Way,0,164 STREET,1,PASSENGER VEHICLE,QUEENS,Failure to Yield Right-of-Way,11358.0,,0,04/22/2016,3426723,,,10:30:00,0
583282,WEST 207 STREET,0,,0,-73.92214109999998,,,40.8691471,"(40.8691471, -73.9221411)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,SEAMAN AVENUE,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10034.0,,0,04/22/2016,3410878,,,17:58:00,0
583314,WEST 46 STREET,0,,0,-73.9853377,,,40.75869470000001,"(40.7586947, -73.9853377)",PASSENGER VEHICLE,0,0,,Unspecified,0,BROADWAY,0,PASSENGER VEHICLE,MANHATTAN,Lost Consciousness,10036.0,,0,01/02/2016,3364050,,,17:15:00,0
583364,FLATBUSH AVENUE,0,,0,-73.9557162,,,40.6405826,"(40.6405826, -73.9557162)",PASSENGER VEHICLE,0,0,,Lost Consciousness,0,DITMAS AVENUE,0,PASSENGER VEHICLE,BROOKLYN,Lost Consciousness,11226.0,,0,04/21/2016,3417600,,,19:39:00,0
